Memory_ghz_max,Memory_usage_max,state,vibrate,vibrateState
120270,0.065282,-2,0.000551454,0
120260,0.065318,-2,0.000597079,0
120260,0.065357,-2,0.000183607,0
120250,0.065369,-2,-0.000351849,0
120260,0.065346,-2,0.000489701,0
120260,0.065378,-2,6.12E-05,0
120690,0.065382,-2,3.06E-05,0
120250,0.065384,-2,-0.000336474,0
120250,0.065362,-2,0.000413084,0
120250,0.065389,-2,0.000259983,0
120250,0.065406,-2,0.00016818,0
120250,0.065417,-2,6.11E-05,0
120250,0.065421,-2,0.000657281,0
120240,0.065464,-2,0.000504094,0
120240,0.065497,-2,0.000183214,0
120230,0.065509,-2,0.000656398,0
120230,0.065552,-2,-0.000335611,0
120230,0.06553,-2,0.000305204,0
120230,0.06555,-2,-0.000228833,0
120230,0.065535,-2,0.004089418,1
120230,0.065803,-2,0.002401106,0
120650,0.065961,-2,0.000197086,0
120170,0.065974,-2,0.00012126,0
120190,0.065982,-2,-0.001364008,0
120190,0.065892,-2,0.000652583,0
120180,0.065935,-2,-9.10E-05,0
120180,0.065929,-2,0.00112242,0
120180,0.066003,-2,-3.03E-05,0
120170,0.066001,-2,0.000787867,0
120170,0.066053,-2,-9.08E-05,0
120160,0.066047,-2,-0.000393659,0
120170,0.066021,-2,0.000121174,0
120170,0.066029,-2,-0.000333187,0
120170,0.066007,-2,1.51E-05,0
120170,0.066008,-2,-0.000545388,0
120170,0.065972,-2,0.001561268,0
120610,0.066075,-2,0.000136209,0
120160,0.066084,-2,-3.03E-05,0
120160,0.066082,-2,4.54E-05,0
120160,0.066085,-2,0.00022698,0
120160,0.0661,-2,0.000468986,0
120150,0.066131,-2,-0.000226823,0
120150,0.066116,-2,0.000196624,0
120150,0.066129,-2,-1.51E-05,0
120150,0.066128,-2,0.000287322,0
120150,0.066147,-2,0.0004233,0
120150,0.066175,-2,0.000196449,0
120150,0.066188,-2,-0.000135976,0
120150,0.066179,-2,-0.000226658,0
120150,0.066164,-2,-0.000166254,0
120150,0.066153,-2,0.000136048,0
120610,0.066162,-2,-0.000287174,0
120160,0.066143,-2,0.000377969,0
120150,0.066168,-2,-0.000317374,0
120150,0.066147,-2,0.000377946,0
120150,0.066172,-2,-0.000181346,0
120150,0.06616,-2,-0.000120919,0
120150,0.066152,-2,-1.51E-05,0
120150,0.066151,-2,6.05E-05,0
120150,0.066155,-2,0.000241856,0
120150,0.066171,-2,3.02E-05,0
120150,0.066173,-2,-6.04E-05,0
120150,0.066169,-2,0.000498723,0
120150,0.066202,-2,0,0
120140,0.066202,-2,-0.000151053,0
120150,0.066192,-2,0.000634518,0
120140,0.066234,-2,0.000634115,0
120570,0.066276,-2,-1.51E-05,0
120140,0.066275,-2,-0.000482837,0
120150,0.066243,-2,-0.000241535,0
120140,0.066227,-2,-0.000196295,0
120140,0.066214,-2,0.000724922,0
120140,0.066262,-2,0.000347107,0
120140,0.066285,-2,0.00016595,0
120140,0.066296,-2,0.000211174,0
120130,0.06631,-2,0.00441864,1
120130,0.066603,-2,0.000285272,0
120090,0.066622,-2,0.000255171,0
120090,0.066639,-2,0.000975405,0
120080,0.066704,-2,0.000509715,0
120080,0.066738,-2,0.000524439,0
120070,0.066773,-2,-7.49E-05,0
120450,0.066768,-2,-0.002261562,0
120090,0.066617,-2,0.000960716,0
120090,0.066681,-2,0.001379703,0
120080,0.066773,-2,0.0010034,0
120070,0.06684,-2,0.000448833,0
120060,0.06687,-2,0.001689846,0
120050,0.066983,-2,0.000223937,0
120040,0.066998,-2,0.001567211,0
120040,0.067103,-2,-0.000536489,0
120040,0.067067,-2,1.49E-05,0
120030,0.067068,-2,0.001312101,0
120030,0.067156,-2,0.001340163,0
120020,0.067246,-2,0.001308628,0
120000,0.067334,-2,0.000712864,0
120000,0.067382,-2,0.005565284,2
120390,0.067757,-2,0.001387311,0
119940,0.067851,-2,8.84E-05,0
119940,0.067857,-2,0.000280001,0
119930,0.067876,-2,0.000456715,0
119930,0.067907,-2,0.001988013,0
119920,0.068042,-2,0.000749537,0
119900,0.068093,-2,-0.000117486,0
119900,0.068085,-2,0.000998752,0
119900,0.068153,-2,0.000264112,0
119890,0.068171,-2,0.000953485,0
119890,0.068236,-2,0.000981886,0
119880,0.068303,-2,0.001698315,0
119870,0.068419,-2,0.00097926,0
119860,0.068486,-2,0.002073416,0
119840,0.068628,-2,0.003467972,1
120280,0.068866,-2,0.000377545,0
119800,0.068892,-2,0.000493526,0
119800,0.068926,-2,-0.000638366,0
119800,0.068882,-2,0.002540577,0
119800,0.069057,-2,0.000984694,0
119790,0.069125,-2,-5.79E-05,0
119770,0.069121,-2,0.002112238,0
119770,0.069267,-2,0.000620786,0
119750,0.06931,-2,0.000663685,0
119740,0.069356,-2,0.000951612,0
119740,0.069422,-2,0.001714154,0
119730,0.069541,-2,0.00083404,0
