"","Memory_ghz_max","Memory_usage_max","state","vibrate","vibrateState"
"75",120690,0.061958,-2,0.000242099486749137,0
"76",120690,0.061973,-2,-4.84081777548662e-05,0
"77",120700,0.06197,-2,-4.84105212198438e-05,0
"78",120690,0.061967,-2,0.00254974421869703,0
"79",120690,0.062125,-2,0.000305835010060429,0
"80",120670,0.062144,-2,-0.000160916580844384,0
"81",120670,0.062134,-2,-0.000627675668716021,0
"82",120670,0.062095,-2,-0.000450921974394114,0
"83",120680,0.062067,-2,6.44464852499471e-05,0
"84",120680,0.062071,-2,-0.000934413816436108,0
"85",120690,0.062013,-2,-0.000483769532194755,0
"86",120690,0.061983,-2,-0.000822806253327535,0
"87",120700,0.061932,-2,-0.000775043596202285,0
"88",120990,0.061884,-2,0.000646370628918591,0
"89",120710,0.061924,-2,-0.00164718041470191,0
"90",120710,0.061822,-2,-0.000614667917569811,0
"91",120720,0.061784,-2,-0.000437006344684687,0
"92",120720,0.061757,-2,-0.000712469841475549,0
"93",120720,0.061713,-2,-0.000858814188258505,0
"94",120730,0.06166,-2,-0.000762244566980153,0
"95",120730,0.061613,-2,-0.000146073068995167,0
"96",120740,0.061604,-2,-0.000422050516200256,0
"97",120740,0.061578,-2,-0.0007307804735458,0
"98",120750,0.061533,-2,-0.000211268750101579,0
"99",120750,0.06152,-2,-0.000243823146944155,0
"100",120750,0.061505,-2,-0.000113811885212534,0
"101",120750,0.061498,-2,-9.75641484275425e-05,0
"102",120750,0.061492,-2,0.000146360502179199,0
"103",121130,0.061501,-2,0.00102437358742136,0
"104",120820,0.061564,-2,-0.00113702813332472,0
"105",120750,0.061494,-2,0.00089439620125531,0
"106",120750,0.061549,-2,-0.00107231636582228,0
"107",120760,0.061483,-2,-0.00125237870630912,0
"108",120760,0.061406,-2,-0.000162850535778358,0
"109",120760,0.061396,-2,-0.000390904944947534,0
"110",120770,0.061372,-2,-0.00130352603793271,0
"111",120780,0.061292,-2,-0.000456829602558217,0
"112",120790,0.061264,-2,-0.00107730477931567,0
"113",120790,0.061198,-2,-0.000294127259060861,0
"114",120790,0.06118,-2,0.0111310885910429,1
"115",120780,0.061861,-2,0.00758151339292934,1
"116",120730,0.06233,-2,6.41745547889094e-05,0
"117",120650,0.062334,-2,-0.00150800526197592,0
"118",120650,0.06224,-2,0.00147814910025712,0
"119",120930,0.062332,-2,-0.000994673682859548,0
"120",120660,0.06227,-2,-8.02954873935224e-05,0
"121",120660,0.062265,-2,-0.000658475869268482,0
"122",120660,0.062224,-2,-0.000241064541013136,0
"123",120660,0.062209,-2,1.60748444759662e-05,0
"124",120660,0.06221,-2,-4.82237582383194e-05,0
